Word,Clue,Example
fancy,imagine; conceive of; see in one's mind,"For a time, indeed, he had fancied that things were changed."
concept,an abstract or general idea inferred from specific instances,"As a psychologist, I have always found the concept of speed dating fascinating."
court,an assembly to conduct judicial business,"When Brown pleaded not guilty to assaulting Rihanna, their violent past came out in court."
appoint,"assign a duty, responsibility or obligation to",In 1863 he was appointed by the general assembly professor of oriental languages at New College.
passage,"a section of text, particularly a section of medium length",His interpretation of many obscure scriptural passages by means of native manners and customs and traditions is particularly helpful and informing.
vain,unproductive of success,"An attempt was made to ignore this brilliant and irregular book, but in vain; it was read all over Europe."
instance,an occurrence of something,"In many instances large districts or towns would have fewer representatives than smaller ones, or perhaps none at all."
coast,the shore of a sea or ocean,Martello towers must be built within short distances all round the coast.
project,a planned undertaking,"The funds are aimed at helping build public projects including mass transit, electricity networks, water utility and ports, it said."
commission,a special group delegated to consider some matter,The developers are now seeking approval from the landmarks commission.
constant,a quantity that does not vary,"In 1929, Hubble independently put forward and confirmed the same idea, and the parameter later became known as the Hubble constant."
circumstances,one's overall condition in life,The circumstances leading up to the shootings was not immediately available.
constitute,to compose or represent,Oil and natural gas constituted almost 50 percent of Russian government revenue last year.
level,a relative position or degree of value in a graded group,Only last month did the men’s and women’s unemployment rates reach the same level.
affect,have an influence upon,The central bank will start distributing low-interest loans in early March to individuals and small- and medium-sized companies affected by the flooding.
institute,set up or lay the groundwork for,Corporations have to be more and more focused on instituting higher labor standards.
render,give an interpretation of,"But authorities had rendered the weapon and the explosive device inoperable, officials said."
appeal,be attractive to,"To get traditional women’s accessories to appeal to men, some designers are giving them manly names and styles."
generate,bring into existence,Qualities such as these are not generated under bad working practices of any sort.
theory,a well-substantiated explanation of some aspect of the world,"Testing that theory begins Saturday night, as the Capitals take on Tampa Bay in another important contest."
range,a variety of different things or activities,"Like American community colleges, admission at an open university is not competitive, but the schools offer a range of programs, including doctoral degrees."
campaign,a race between candidates for elective office,At the same point in 2004 — as an incumbent facing re-election — Mr. Bush had taken in about $145.6 million for his campaign.
league,an association of sports teams that organizes matches,"""When I broke into the big leagues until a month ago, Gary kept in touch,"" Mets third baseman David Wright said."
labor,any piece of work that is undertaken or attempted,"More labor is entailed, more time is required, greater delay is occasioned in cleaning up, and the amount of water used is much greater."
confer,have a meeting in order to talk something over,Ms. Stewart said Mrs. Bachmann conferred with her family and a few aides after her disappointing showing on Tuesday evening.
grant,allow to have,"He had been granted entry into the White House only for the daily briefing, later that afternoon."
dwell,think moodily or anxiously about something,But it is hardly necessary to dwell on so normal an event.
entertain,provide amusement for,The first Super Bowl in 1967 featured college marching bands entertaining the crowds at halftime.
contract,a binding agreement that is enforceable by law,"Contracts with utilities will be signed starting next month, he said."
earnest,"characterized by a firm, humorless belief in one's opinions",Too much praise cannot be given to the earnest and efficient missionaries who founded and have maintained this mission.
yield,give or supply,"It is a very important honey plant, as it yields an exceptionally pure nectar and remains in bloom a long time."
wander,to move or cause to move in a sinuous or circular course,"While each animal wandered through the maze, its brain was working furiously."
insist,be emphatic or resolute and refuse to budge,Interior Department officials insisted that they had conducted an extensive scientific inquiry before moving ahead with the spill response plan.
knight,a person of noble birth trained to arms and chivalry,"The knight was gallant not only in war, but in love also."
convince,make realize the truth or validity of something,But though he listened he was not convinced.
inspire,serve as the inciting cause of,"His surprising performance inspired an outpouring of fan adoration that has been dubbed ""Linsanity."""
convention,a large formal assembly,"Last year, the industry’s main trade convention, the Inside Self-Storage World Expo, organized workshops in Las Vegas focusing on lien laws and auction sales."
skill,an ability that has been acquired by training,He says many new drivers are terrified of motorway driving because they do not have the skills or confidence needed.
harry,annoy continually or chronically,There’s something uplifting about hearing a string instrument when I’m feeling ragged or harried.
financial,involving fiscal matters,"Meanwhile, universities have raised tuition every year, putting many students in a financial bind."
reflect,show an image of,Teens ranting over chores and whatnot can often reflect deeper feelings of alienation or perceived uncaring on the part of parents.
novel,an extended fictional work in prose,Before Robert Barr publishes a novel he spends years in thinking the thing out.
furnish,provide or equip with furniture,"Instead, according to court documents, the money went toward furnishing mansions, flying in private jets, and retaining a $120,000-a-year personal hairstylist."
compel,force somebody to do something,"But the flames grew too large, compelling firefighters to call off the rescue."
venture,proceed somewhere despite the risk of possible dangers,Clearly he would not venture to descend while his enemy moved.
territory,the geographical area under the jurisdiction of a state,"On Friday, West Africa regional group Ecowas condemned the rebels, urging them to end hostilities and surrender all occupied territory."
temper,a characteristic state of feeling,"Oscar Wilde, to do him justice, bore this sort of rebuff with astonishing good temper and sweetness."
bent,fixed in your purpose,"The business-oriented constituency of the Republican Party, Jacobs said, has been weakened by a faction bent on lowering taxes and cutting spending."
intimate,"marked by close acquaintance, association, or familiarity","The female spider can choose when to cut off intimate relations by eating her partner, or kicking him out."
undertake,enter upon an activity or enterprise,An autopsy has reportedly been undertaken but the results are not expected for several weeks.
majority,more than half of the votes in an election,Republicans need just four seats in the Senate to take control as the majority party.
assert,to declare or affirm solemnly and formally as true,"In your talk you asserted the pill's risks of blood clotting, lung artery blockage, heart attack and stroke are minimal."
crew,the men and women who man a vehicle,"Several pilots and crew members would have to escape at once, while safety divers watched, ready to rescue anyone who became stuck."
chamber,a natural or artificial enclosed space,"""Today,"" said the old man, ""you must push through with me into my most solitary chamber, that we may not be disturbed."""
scheme,an elaborate and systematic plan of action,"Some companies in the Globe District of Arizona have started extensive underground schemes for mining large tonnages very cheaply by ""caving"" methods."
keen,demonstrating ability to recognize or draw fine distinctions,Not one of his movements escaped her keen observation; she drank in every shiver.
liberal,having political views favoring reform and progress,Romney’s actually done well in open primaries where fiscally conservative yet socially liberal independents have backed him over his opponents.
despair,a state in which all hope is lost or absent,"There were wounded love, and wounded pride, and despair, and coming madness, all in that piteous cry."
tide,the periodic rise and fall of the sea level,"In the case of mobile connectivity, a rising tide does not lift all boats."
attitude,a complex mental state involving beliefs and feelings,"""Behaviours have changed and attitudes have changed,"" Mr Taylor said."
justify,show to be reasonable or provide adequate ground for,"He felt sure that if the circumstances justified it, the necessary proceedings could be taken.”"
flag,a rectangular piece of cloth of distinctive design,Palestinian President Mahmoud Abbas declared three days of mourning and ordered flags flown at half staff.
merit,any admirable quality or attribute,Thus far in our inquiry extraordinary merits have been offset by extraordinary defects.
manifest,reveal its presence or make an appearance,"A too rapid transformation of existing conditions might very easily lead to an economic crisis, symptoms of which are already beginning to manifest themselves."
notion,a general inclusive concept,Does that old notion that defense wins championships still hold up these days? scale
relative magnitude,"And there might not be much money, so fashion shows are done on a much smaller scale.",formal
characteristic of or befitting a person in authority,"A formal decision to call off the search is likely on Wednesday, rescue officials said.",resource
persist,continue to exist,"Old ideas, long after the conditions under which they were produced have passed away, often persist in surviving."
contempt,lack of respect accompanied by a feeling of intense dislike,"And with his backhanded contempt for all things ordinary, Blake is making some of the catchiest, most difficult music in recent memory."
tour,a route all the way around a particular place or area,He typed in “South Park” and took senior executives on a tour of Web sites offering pirated episodes.
plead,enter a defendant's answer,"Aria pleaded not guilty, but he acknowledged that he had violated some laws."
weigh,to be oppressive or burdensome,"So far, the political turmoil has not appeared to have discouraged visitors, but prolonged strife could weigh on tourism."
mode,how something is done or how it happens,"Speaking of science, he says, in language far in advance of his times: ‘There are two modes of knowing—by argument and by experiment."
distinction,a discrimination between things as different,But such a distinction is quite external; at heart the men may be very much alike.
inclined,at an angle to the horizontal or vertical position,Such an inclined passage following a seam of coal is known as a slope.
attribute,an abstraction belonging to or characteristic of an entity,"The authors found that when the available prospects varied more in attributes such as age, height, occupation and educational background, people made fewer dating proposals."
exert,make a great effort at a mental or physical task,School boards may come to exert even greater influence over what students read.
oppress,come down on or keep down by unjust use of one's authority,Those who managed to survive were later oppressed by Poland's post-war communist authorities.
contend,compete for something,"But eight men, however bold and stout-hearted, could not long contend with an enemy at least four times their number."
stake,a strong wooden or metal post driven into the ground,"His remains were buried in Cannon Street, and a stake was driven through the body."
toil,work hard,"He toiled in the sweat of his brow, tilling the stubborn ground, taking out stones, building fences."
perish,pass from physical life,"Simon Wiesenthal's parents are long since deceased, with his father dying in World War I and his mother perishing in the Holocaust."
disposition,your usual mood,Melancholia — the state of mind — can hide behind seemingly sunny dispositions.
rail,complain bitterly,"Mr. Gray railed against lengthy stage directions, saying he crossed them out in scripts before he would begin rehearsals with his actors."
cardinal,one of a group of prominent bishops in the Sacred College,Each time he names cardinals he puts his stamp on Roman Catholicism's future by choosing men who share his views.
boast,show off,"Mr. Estes was also well connected politically, boasting that the president of the United States took his calls."
advocate,"a person who pleads for a person, cause, or idea","Well, safety advocates, consumers and the government dragged the automobile industry toward including seat belts, air bags, more visible taillights and other safety features."
bestow,present,He bestowed public buildings and river improvements in return for votes.
allege,report or maintain,"It is being fired into enclosed areas and homes, the human rights group alleges."
notwithstanding,despite anything to the contrary,"He seems to have taken things easily enough, notwithstanding the sorrow and suffering that surrounded him on every side."
lofty,of imposing height; especially standing out above others,He found himself in an enormous hall with a lofty ceiling.
multitude,a large indefinite number,"Department store chains in general have been strained in recent years as a "" multitude"" of alternatives has emerged, all competing for customers."
steep,having a sharp inclination,"It was narrow and very steep, and had precipices in all parts, so that they could not mount upward except one at a time."
heed,pay close attention to,But Cain was already too far gone to heed the warning voice.
modest,not large but sufficient in size or amount,A healthy person living in an unfashionable city with no student loans to pay off can get by on a fairly modest income.
partial,being or affecting only a segment,Generalizations of this sweeping order are apt to contain only partial truth.
apt,naturally disposed toward,Another reason to display beds at an electronics show: consumers are apt to use high-tech devices while tucked in.
esteem,the condition of being honored,"Despite being held in the highest esteem by his fellow poets, Redgrove never quite achieved the critical reception or readership he deserved."
credible,appearing to merit belief or acceptance,"Mike Mullen, then chairman of the Joint Chiefs of Staff, has acknowledged receiving the memo but said he ignored it as not credible."
provoke,provide the needed stimulus for,It provoked a bigger reaction than we could ever have anticipated.
tread,a step in walking or running,"The farmer went down, his clumsy boots making no sound on the uncarpeted stairway, so careful was his tread."
ascertain,learn or discover with confidence,Health care providers and manufacturers can ascertain alternative treatment more effectively by tackling predicted drug shortage incidences early in the process.
fare,proceed or get along,A recent study breaks down how graduates with various college degrees are faring in today’s difficult job market.
cede,relinquish possession or control over,Some militia chiefs say they will only cede command of their fighters once an organized military and security apparatus is in place.
perpetual,continuing forever or indefinitely,"The river is a perpetual enjoyment, always something going on."
decree,a legally binding command or decision,"While the decree takes effect immediately, it requires Parliament’s approval within 60 days to remain in force."
contrive,make or work out a plan for; devise,"The wily Roc, never taken much by surprise, contrived to escape, but old Tributor and his men were all captured."
derived,formed or developed from something else; not original,"Modern kale, cabbage, broccoli, cauliflower, Brussels sprouts, and kohlrabi are all members of the same species, derived from a single prehistoric plant variety."
elaborate,marked by complexity and richness of detail,But the tobacco industry and owners of other convenience stores say tribal cigarette manufacturing is just an elaborate form of tax evasion.
substantial,capable of being treated as fact,Defence lawyers said the large number of forensic tests which had been carried out had failed to find any substantial evidence linked to the accused.
frontier,a wilderness at the edge of a settled area of a country,"Adding to the precarious security situation, tribesmen kidnapped 18 Egyptian border guards along the frontier with Israel in Sinai Peninsula."
facile,arrived at without due care or effort; lacking depth,"As one teacher remarks about a troubled student, “There is no facile solution.”"
cite,make reference to,"The Federal Reserve has pledged low interest rates until late 2014, citing in part the weakness of the job market."
warrant,show to be reasonable or provide adequate ground for,In the United Kingdom and Europe the devices are not used unless the need is warranted by the patient's medical condition.
sob,weep convulsively,"He cried and trembled, sobbing, while they spoke, like the child he was."
rider,a traveler who actively sits and travels on an animal,"In horseback riding, a rider will give commands by squeezing or lengthening the reins and altering the position of his legs."
dense,permitting little if any light to pass through,Dense black smoke rose in the distance as demonstrators burned tires in Shiite villages.
afflict,cause physical pain or suffering in,"Melanoma globally afflicts nearly 160,000 new people each year."
flourish,grow vigorously,"His business had been all along steadily flourishing, his patrons had been of high social position, some most illustrious, others actually royal."
ordain,invest with ministerial or priestly authority,"One of the present bishops was consecrated when quite a young boy, and deacons are often ordained at sixteen, and even much earlier."
pious,having or showing or expressing reverence for a deity,"Mother, you see, is a very pious woman, and she attributes it all to Providence, saying that it was the Divine interference in her behalf."
vex,"disturb, especially by minor irritations",There are vexing problems slowing the growth and the practical implementation of big data technologies.
gravity,the force of attraction between all masses in the universe,"Once captured, the combined object will have a new center of gravity and may be spinning in an uncontrolled way."
suspended,supported or kept from sinking or falling by buoyancy,"Frustrating enough at ground level, but can you imagine the agony about a stranded, ever-soggier Oreo being suspended 11 feet above the ground?"
conspicuous,obvious to the eye or mind,Its bright scarlet fruits are conspicuous in late autumn.
retort,a quick reply to a question or remark,"Having put him in ill humour with this retort, she fled away rejoicing."
jet,an airplane powered by gas turbines,"Typhoon fighter jets, helicopters, two warships and bomb disposal experts will also be on duty to guard against security threats."
bolt,run away,"The blare of bugles was heard, and a few seconds afterwards Jackson, still facing the enemy, shouted: ""By Jupiter, they're bolting, sir."""
assent,to agree or express agreement,"His two companions readily assented, and the promise was mutually given and received."
purse,a sum spoken of as the contents of a money container,"She watched over her husband, kept his accounts, held the family purse, managed all his affairs."
plus,the arithmetic operation of summing,The survey’s margin of error was plus or minus four percentage points.
sanction,give authority or permission to,The Securities and Exchange Commission said last year it had sanctioned 39 senior officers for conduct related to the housing market meltdown.
proceeding,a sequence of steps by which legal judgments are invoked,"Chu attended the special court-martial proceeding on Monday in Hawaii, Hill said."
exalt,"praise, glorify, or honor",Some exalt themselves by anonymously posting their own laudatory reviews.
siege,an action of an armed force that surrounds a fortified place,"Rebellion broke out, and finally the aged Caliph, after enduring a siege of several weeks, was murdered in his own house."
malice,feeling a need to see others suffer,"He viewed the moths with malice, their fluttering wings fanning his resentment."
extravagant,recklessly wasteful,"Advisers say new millionaires are prone to mistakes, like making extravagant purchases or risky deals with friends."
wax,increase in phase,"Carols had existed for centuries, though their popularity waxed and waned as different governments and religious movements periodically declared them sinful."
throng,press tightly together or cram,Deafening cheers rent the air as he landed; hundreds thronged around him to clasp his hand.
venerate,regard with feelings of respect and reverence,He venerated me like a being descended from an upper world.
assail,attack someone physically or emotionally,"His campaign even issued a press release assailing other rivals for, in Mr. Paul’s view, taking Mr. Romney’s quote about firing people out of context."
sublime,of high moral or intellectual value,"He was uneven, disproportioned, saying ordinary things on great occasions, and now and then, without the slightest provocation, uttering the sublimest and most beautiful thoughts."
exploit,draw from; make good use of,"As humans increasingly exploit the deep seas for fish, oil and mining, understanding how species are dispersed is crucial, Copley said."
exertion,use of physical or mental energy; hard work,"One day overcome by exertion, she fainted in the street."
kindle,catch fire,Then a match was kindled and fire applied.
endow,furnish with a capital fund,"The grammar school here, founded in 1533, is liberally endowed, with scholarships and exhibitions."
imposed,set forth authoritatively as obligatory,The Arab League has already suspended Syria and imposed economic sanctions.
humiliate,cause to feel shame,"The letter claims pensioners are too often patronised, humiliated, denied privacy or even medical treatment."
suffrage,a legal right to vote,There has been a great deal said in this country of late in regard to giving the right of suffrage to women.
ensue,issue or terminate in a specified way,"An uproar ensued months after the approval, when opponents realized the online gambling measure had been slipped in."
brook,a natural stream of water smaller than a river,He walked across the little bridge over the brook and at once his mood changed.
gale,a strong wind moving 45-90 knots,"The gale was accompanied, as usual, by incessant rain and thick weather, and a heavy confused sea kept our decks always flooded."
muse,reflect deeply on a subject,Musing about the Big Picture may be a lot more gratifying than focusing on the details of the specific policies that aren’t working.
satire,witty language used to convey insults or scorn,"There’s plenty of humor on Russian television, though not much political satire; Mr. Putin put a stop to that long ago."
intrigue,cause to be interested or curious,Designing and building models that intrigue and educate without overwhelming has been challenging.
indication,something that serves to suggest,Authorities said an autopsy found no indications of foul play or obvious signs of trauma on Houston.
dispatch,send away towards a designated goal,More than one assassin was dispatched by the Turkish authorities to murder Napoleon.
cower,crouch or curl up,The knaves lowered their weapons and shrank back cowering before him.
wont,an established custom,"He made his customary slick feeds to open teammates, but as is their wont, the Nets struggled at times to convert points on his passes."
tract,a system of body parts that serve some particular purpose,"When probiotics flourish in the digestive tract, nutrients are better absorbed and bad bugs are held at bay, research suggests."
canon,a collection of books accepted as holy scripture,"For me, all novels of any consequence are literary, and they take their place, high and low, in the canon of English literature."
impel,cause to move forward with force,Some power beyond his comprehension was impelling him toward the neighboring city.
latitude,freedom from normal restraints in conduct,Great employees often get more latitude to bring up controversial subjects in a group setting because their performance allows greater freedom.
vacate,leave behind empty; move out of,Their number diminished sharply after Villaraigosa announced last week that he wanted protesters to vacate the grounds by Monday or be forcibly removed.
undertaking,any piece of work that is attempted,"""Let my epitaph be, Here lies Joseph, who was unsuccessful in all his undertakings."""
slay,kill intentionally and with premeditation,"""It were shame,"" said Lancelot, ""for an armed to slay an unarmed man."""
predecessor,one who precedes you in time,"Heller fills in the blanks about Taft, overshadowed by colorful predecessor Teddy Roosevelt."
delicacy,the quality of being exquisitely fine in appearance,"This refinement appears in his works, which are full of artistic grace and dainty delicacy."
forsake,leave someone who needs or counts on you; leave in the lurch,"""I'm surprised,"" said Philip, cautiously opening fire, ""that you were ever allowed to forsake your native land."""
beseech,ask for or request earnestly,"Utterly distraught, he ran up and down the bank, hunting for his clothes, calling, crying out, imploring, beseeching help from somewhere."
philosophical,relating to the investigation of existence and knowledge,"His arguments, like Einstein’s, were qualitative, verging on highly philosophical."
grove,a small growth of trees without underbrush,"Soon after we came to Pasadena, father bought an orange grove of twenty-five acres."
frustrate,"hinder or prevent, as an effort, plan, or desire","Frustrated after two years of missed budget targets, finance chiefs demanded Greek officials put their verbal commitments into law."
illustrious,widely known and esteemed,"She will be joining an illustrious list of recipients that include Winston Churchill, Nelson Mandela, Pope John Paul II and Princess Diana."
device,an instrumentality invented for a particular purpose,You’ve probably also noticed that the telephone and computer are no longer the only devices on your employees’ desks.
pomp,cheap or pretentious or vain display,"Throughout U.S. history, Americans have been fascinated by royal pomp -- even on a movie screen."
entreat,ask for or request earnestly,"""Let me go now, please,"" she entreated, her eyes unable to meet his any longer."
impart,"transmit, as knowledge or a skill","Long before writing and books were in common use, proverbs were the principal means of imparting instruction."
propriety,correct behavior,"I felt a trifle doubtful about the propriety of taking a short cut across private grounds, and said as much."
consecrate,render holy by means of religious rites,"The building was consecrated as a Protestant Episcopal church in May, 1814."
proceeds,the income or profit arising from a transaction,His own share in the proceeds was about a hundred thousand dollars.
fathom,come to understand,"But after flying for so many years, the idea of hanging up his sparkling wings is hard for him to fathom."
objective,the goal intended to be attained,The objective was to mobilize students from 18 high schools across the city to provide community services and inspire others.
clad,wearing or provided with clothing,"A few of the villagers came behind, clad in mourning robes, and bearing lighted tapers."
partisan,devoted to a cause or party,"But given the bitter partisan divide in an election year, Democrats said they would never be able to get such legislation passed."
faction,a dissenting clique,One faction declared it would begin an armed struggle against the government of the United States.
contrived,artificially formal,In lesser hands the story about a young man who discovers life among the dead could be impossibly cute and contrived.
venerable,impressive by reason of age,"Thus, after much more than two hundred years, the venerable building looks almost as it did when the first students entered its doors."
restrained,not showy or obtrusive,"By contrast, Mr. Pei’s restrained design took time to claim my attention, particularly since it sat quietly next door to Saarinen’s concrete gull wings."
besiege,"harass, as with questions or requests",He can’t trot down the street without being besieged by paparazzi.
manifestation,a clear appearance,Singing and dancing are manifestations of what many Syrians describe as a much broader cultural flowering.
rebuke,an act or expression of criticism and censure,"Afterward, the leaders fought court orders to release records showing what they had done, drawing an uncommonly sharp rebuke from a federal judge."
insurgent,in opposition to a civil authority or government,"The Free Syrian Army, an insurgent group made of defecting soldiers and based in southern Turkey, claimed responsibility for both attacks."
rhetoric,using language effectively to please or persuade,His fiery rhetoric in support of limiting cuts to projected defense spending has surprised and impressed some of Obama's toughest Republican critics.
scrupulous,having ethical or moral principles,The reason is that the vast majority of businesses are scrupulous and treat their employees well.
ratify,"approve and express assent, responsibility, or obligation",Company officials at Safeway said those replacement workers will remain on standby until the agreement is ratified by union members.
stump,cause to be perplexed or confounded,"Though family members long suspected Evans, a local handyman who frequently hired local youths, the case stumped investigators for years."
discreet,marked by prudence or modesty and wise self-restraint,"Sarkozy has attempted to tone down his image, becoming more discreet about his private life."
imposing,impressive in appearance,These buildings were grand and stylized with intricate details and a bit of an imposing presence.
wistful,showing pensive sadness,"She turned toward him, her face troubled, her eyes most wistful."
mortify,cause to feel shame,"Intensely mortified at this humiliation, the king fell sick, and henceforth his health failed rapidly."
ripple,stir up so as to form small waves,That could precipitate higher interest rates that would ripple across the economy.
premise,a statement that is held to be true,"Success, real success, comes to the jack of all trades, a major premise handed down from pioneer days."
subside,wear off or die down,"Affliction is allayed, grief subsides, sorrow is soothed, distress is mitigated."
adverse,contrary to your interests or welfare,High doses can have adverse effects and even cause death.
caprice,a sudden desire,"Nobody is really in charge, and decisions are made on whim and caprice.”"
muster,gather or bring together,Yet Fox needed all the strength that he could muster.
comprehensive,broad in scope,"The United States Army developed a comprehensive plan to address problematic race relations in the 1970s, recognizing that they were hampering military effectiveness."
accede,yield to another's wish or opinion,Therefore he made up his mind to accede to his uncle's desire.
fervent,characterized by intense emotion,"But, to fervent applause and scattered fist pumps from two sets of worshipers, he pledged to legally challenge the claims against him."
cohere,"cause to form a united, orderly, and consistent whole",Two antagonistic values may cohere in the same object.
tribunal,an assembly to conduct judicial business,"The military has historically been protected from civilian courts, with any crimes committed by soldiers being decided in closed military tribunals."
austere,severely simple,A certain austere simplicity was noticeable all over Longfellow's house.
stratum,people having the same social or economic status,"She belonged to the upper stratum of the profession, and, knowing it, could not sink."
conscientious,characterized by extreme care and great effort,A conscientious hostess would be very much mortified if she served chicken out of its proper course.
arbitrary,based on or subject to individual discretion or preference,"Sandra Nurse, a member of Occupy's direct action working group, said police treated demonstrators roughly and made arbitrary arrests."
exasperate,irritate,"Shopkeepers, exasperated at the impact of higher taxes and reduced consumer spending, are planning to close down for the day."
conjure,summon into action or bring into existence,"Vacation homes typically conjure up dreams of blue skies, pristine sand and crystalline waters."
ominous,threatening or foreshadowing evil or tragic developments,"The Count's words were so ominous, so full of sinister meaning that for the moment he felt like crying out with fear."
edifice,a structure that has a roof and walls,They are here erecting a fine stone edifice for an Episcopal Church.
elude,"escape, either physically or mentally","But despite racking up world titles, Olympic gold was eluding him."
pervade,spread or diffuse through,An air of intense anticipation pervaded the General’s dining room.
foster,promote the growth of,Mr. Horne accused the district’s Mexican-American studies program of using an antiwhite curriculum to foster social activism.
admonish,take to task,"""Children, children, stop quarrelling, right here in public!"" admonished Mrs. Dering, in a low, shocked tone."
repeal,cancel officially,"If Republicans repeal the law, Ms. Schakowsky said, they would be “taking away benefits that seniors are already getting.”"
retiring,not arrogant or presuming,"Foster was an extremely modest, unworldly, retiring gentleman."
incidental,not of prime or central importance,"The models themselves are incidental on “Scouted,” merely empty planets around which revolve some fascinating characters and plenty more dull ones."
acquiesce,to agree or express agreement,American officials initially tried to resist President Karzai’s moves but eventually acquiesced.
slew,a large number or amount or extent,"In fact, intense focus may be one reason why so-called savants become so extraordinary at performing extensive calculations or remembering a slew of facts."
usurp,seize and take control without authority,"More than anything, though, officials expressed concern about reigniting longstanding Mexican concerns about the United States’ usurping Mexico’s authority."
sentinel,a person employed to keep watch for some anticipated event,"The prisoners undressed themselves as usual, and went to bed, observed by the sentinel."
precision,the quality of being reproducible in amount or performance,"At this time, home ranges of small rodents can not be measured with great precision, therefore any such calculations are, at best, only approximations."
depose,force to leave an office,"Late Wednesday, Mr. Touré, the deposed president, spoke out from hiding for the first time."
wanton,occurring without motivation or provocation,"I am not a sentimentalist by any means, yet I abominate wanton cruelty."
odium,state of disgrace resulting from detestable behavior,"This was one of the men who bring odium on the whole class of prisoners, and prejudice society against them."
precept,rule of personal conduct,"The law of nature has but one precept, ""Be strong."""
deference,a courteous expression of esteem or regard,"Other rules, as indicated in Mr. Collins' book, concerned deportment, and demanded constant deference to superiors."
fray,a noisy fight,Armed rebels have joined the fray in recent months.
candid,openly straightforward and direct without secretiveness,The actor was candid about his own difficult childhood growing up with alcoholic parents.
enduring,unceasing,What makes the galumphing hubby such an enduring stock character?
impertinent,improperly forward or bold,"Imagine calling a famous writer by his first name—it seemed impertinent, to say the least."
bland,lacking stimulating characteristics; uninteresting,"Many critics were less than enamored with the kind of “easy listening” Mr. Williams embodied, deriding his approach as bland and unchallenging."
insinuate,give to understand,"""Good heavens, do you mean to insinuate that I did anything crooked?"" said Bojo loudly, yet at the bottom ill at ease."
nominal,insignificantly small; a matter of form only,He sought nominal damages of one dollar from each defendant.
suppliant,humbly entreating,The colonists asked for nothing but what was clearly right and asked in the most respectful and even suppliant manner.
languid,lacking spirit or liveliness,"Many viewers, bored by the languid pace of the show, tuned out early."
rave,praise enthusiastically,I have heard lots of women simply rave about him.
monetary,relating to or involving money,"A hundred years ago, monetary policy – control over interest rates and the availability of credit – was viewed as a highly contentious political issue."
infallible,incapable of failure or error,"But conductors are no more infallible than other people, and once in a blue moon in going through a train they miss a passenger."
coax,"influence or urge by gentle urging, caressing, or flattering",He used his most enticing manner and did his best to coax the little animal out again.
explicate,"elaborate, as of theories and hypotheses",He urged judges to resist the rigid guidelines and to write opinions explicating their reasons for doing so.
gaunt,very thin especially from disease or hunger or cold,"Gaunt, starved, and ragged, the men marched northwards, leaving the Touat country upon their left hand."
morbid,suggesting the horror of death and decay,"Earlier in the day, however, his demise was watched by spectators with a morbid fascination."
ranging,wandering freely,His detective work is fascinating and wide ranging.
pacify,cause to be more favorably inclined,"How they pacified him I don’t know, but at the end of two hours he had cooled off enough to let us go aboard."
pastoral,idyllically rustic,He made a considerable reputation as an accomplished painter of quiet pastoral subjects and carefully elaborated landscapes with cattle.
dogged,stubbornly unyielding,"Some analysts expect Mr. Falcone, who is known for his dogged determination, to just continue to limp along while slashing costs."
ebb,fall away or decline,"Although Gardner’s competitive appetite ebbed after 2004, other cravings did not."
aide,someone who acts as assistant,She later found work as a teacher’s aide in a Head Start program in Harlem.
appease,cause to be more favorably inclined,The king also has tried to appease public anger over corruption.
